the_geom,Loc,OBJECTID,Borough,Street_Nam,From_Stree,To_Street,Index,May07_D,May07_AM,May07_PM,May07_D2,May07_MD,Sept07_D,Sept07_AM,Sept07_PM,Sept07_D2,Sept07_MD,May08_D,May08_AM,May08_PM,May08_D2,May08_MD,Sept08_D,Sept08_AM,Sept08_PM,Sept08_D2,Sept08_MD,May09_D,May09_AM,May09_PM,May09_D2,May09_MD,Sept09_D,Sept09_AM,Sept09_PM,Sept09_D2,Sept09_MD,May10_D,May10_AM,May10_PM,May10_D2,May10_MD,Sept10_D,Sept10_AM,Sept10_PM,Sept10_D2,Sept10_MD,May11_D,May11_AM,May11_PM,May11_D2,May11_MD,Sept11_D,Sept11_AM,Sept11_PM,Sept11_D2,Sept11_MD,May12_D,May12_AM,May12_PM,May12_D2,May12_MD,Sept12_D,Sept12_AM,Sept12_PM,Sept12_D2,Sept12_MD,May13_D,May13_AM,May13_PM,May13_D2,May13_MD,Sept13_D,Sept13_AM,Sept13_PM,Sept13_D2,Sept13_MD,May14_D,May14_AM,May14_PM,May14_D2,May14_MD,Sept14_D,Sept14_AM,Sept14_PM,Sept14_D2,Sept14_MD,May15_D,May15_AM,May15_PM,May15_D2,May15_MD,Sept15_D,Sept15_AM,Sept15_PM,Sept15_D2,Sept15_MD,May16_D,May16_AM,May16_PM,May16_D2,May16_MD,Sept16_D,Sept16_AM,Sept16_PM,Sept16_D2,Sept16_MD,May17_D,May17_AM,May17_PM,May17_D3,May17_MD,Sept17_D,Sept17_AM,Sept17_PM,Sept17_D2,Sept17_MD
POINT (-73.98588670734839 40.69087186438645),23,23,Brooklyn,Fulton Street,Lawrence Street,Bridge Street,Y,5/17/2007,1478,12249,5/5/2007,7411,9/26/2007,1803,14617,9/29/2007,8643,5/8/2008,1789,15733,5/17/2008,5051,9/17/2008,1673,9081,9/13/2008,6790,5/21/2009,1548,11949,5/9/2009,6307,9/10/2009,1330,11540,10/3/2009,7892,5/4/2010,1209,9358,5/1/2010,7390,9/15/2010,1271,10239,9/18/2010,6091,5/11/2011,1507,9556,5/7/2011,6993,9/15/2011,1507,8732,9/17/2011,5690,5/30/2012,1431,4254,6/9/2012,3267,9/12/2012,"1,791","9,605",9/22/2012,"6,033",5/1/2013,"1,858","11,211",6/1/2013,"6,932",9/25/2013,"1,981","11,392",9/21/2013,"6,045",5/20/2014,"1,865","10,265",5/31/2014,"6,022",9/4/2014,"2,014","11,906",9/6/2014,"5,999",5/13/2015,"2,006","11,648",5/16/2015,"7,232",9/24/2015,1671,10164,9/12/2015,5037,05/25/16,"2,045","10,872",05/14/16,"6,656",09/14/16,"2,289","10,775",09/17/16,"6,572",05/02/17,"1,785","9,793",05/06/17,"6,073",09/07/17,"2,003","11,406",09/16/17,"6,445"
POINT (-73.94255463338305 40.70340826463376),24,24,Brooklyn,Graham Avenue,Moore Street,Varet Street,Y,5/8/2007,864,3732,5/5/2007,2863,9/25/2007,854,3322,9/29/2007,3785,4/30/2008,740,3066,5/3/2008,2552,9/10/2008,793,2814,9/13/2008,3020,5/21/2009,1025,4689,5/9/2009,3161,9/10/2009,734,3071,10/3/2009,2370,5/13/2010,867,2880,5/8/2010,2940,9/15/2010,885,2710,9/18/2010,2807,5/5/2011,882,4629,5/7/2011,2751,9/20/2011,1031,4959,9/17/2011,1953,6/6/2012,886,2172,6/9/2012,607,9/13/2012,995,"4,250",9/22/2012,"4,025",5/2/2013,818,"4,435",5/4/2013,"4,035",9/25/2013,905,"3,921",11/9/2013,"3,626",5/13/2014,995,"4,051",5/10/2014,"4,952",10/9/2014,944,"4,006",9/6/2014,"3,491",5/12/2015,742,"3,493",5/9/2015,"3,812",9/24/2015,477,2506,9/12/2015,2305,05/25/16,742,"3,431",05/21/16,"3,438",09/20/16,855,"2,526",09/17/16,"2,459",05/02/17,845,"3,061",06/03/17,"3,576",09/06/17,"1,004","4,347",09/09/17,"1,833"
POINT (-73.9446668043415 40.71156922033025),25,25,Brooklyn,Grand Street,Manhattan Avenue,Graham Avenue,N,5/9/2007,401,1772,5/5/2007,1305,9/25/2007,918,3090,9/29/2007,1893,4/30/2008,359,1063,5/3/2008,729,9/10/2008,488,1106,9/13/2008,1392,5/21/2009,316,980,5/9/2009,817,9/10/2009,365,1468,10/3/2009,1303,5/13/2010,495,1563,5/8/2010,1326,9/14/2010,593,1446,9/18/2010,1304,5/5/2011,316,1433,5/7/2011,1228,9/20/2011,554,2174,9/17/2011,1199,6/7/2012,465,829,6/9/2012,1352,9/13/2012,411,"1,249",9/22/2012,"1,117",5/2/2013,479,"1,596",5/4/2013,"1,655",9/25/2013,526,"1,571",9/21/2013,"1,280",5/13/2014,632,"1,857",5/31/2014,"1,680",10/2/2014,573,"1,537",9/6/2014,"1,363",5/12/2015,487,"1,446",5/9/2015,"1,233",9/24/2015,725,2294,9/12/2015,1193,05/25/16,665,"2,094",05/21/16,"1,235",09/20/16,746,"2,573",09/17/16,"1,146",05/02/17,790,"2,787",05/20/17,965,09/06/17,606,"2,013",09/09/17,"1,029"
POINT (-73.98727479290567 40.692724140218765),26,26,Brooklyn,Jay Street,Willoughby Street,Metrotech Walk,Y,5/17/2007,1946,3552,5/5/2007,3066,9/25/2007,3280,6321,9/29/2007,1478,5/8/2008,2636,5102,5/17/2008,1024,9/17/2008,2770,4956,9/13/2008,1435,5/21/2009,2519,5538,5/16/2009,1383,9/10/2009,2856,3665,10/3/2009,962,5/4/2010,3201,8284,5/1/2010,2572,9/23/2010,2384,3781,9/18/2010,1496,5/11/2011,2259,3458,5/7/2011,1530,9/14/2011,3240,4962,9/17/2011,1756,6/7/2012,2850,3362,5/19/2012,2432,9/12/2012,"4,210","7,426",9/22/2012,"2,605",5/1/2013,"3,758","6,695",6/1/2013,"2,367",9/25/2013,"3,960","6,873",9/21/2013,"1,852",5/20/2014,"2,846","5,959",5/31/2014,"2,379",9/11/2014,"2,439","4,358",9/6/2014,"1,863",5/13/2015,"4,151","6,908",5/16/2015,"2,361",9/24/2015,2212,4245,9/12/2015,895,05/25/16,"2,556","4,267",05/14/16,"1,582",09/14/16,"3,598","5,068",09/10/16,"2,635",05/02/17,"3,166","6,533",05/06/17,"2,455",09/06/17,"4,338","7,010",09/16/17,"2,353"
POINT (-73.95959352755617 40.608201460935966),27,27,Brooklyn,Kings Highway,East 13th Street,East 14th Street,N,5/17/2007,1368,4727,5/5/2007,2866,9/25/2007,887,3524,9/29/2007,2125,5/1/2008,1382,4287,5/3/2008,2699,9/24/2008,1541,5990,9/27/2008,3059,5/21/2009,1156,5009,5/16/2009,3390,9/10/2009,1766,5651,10/3/2009,3174,5/5/2010,1507,5041,5/8/2010,2966,10/7/2010,1479,5117,9/25/2010,2562,5/10/2011,1980,5447,5/14/2011,2886,9/20/2011,2126,5995,9/24/2011,3610,6/6/2012,1476,3426,6/9/2012,1996,9/12/2012,"1,744","5,673",10/20/2012,"2,766",5/21/2013,"1,552","5,581",6/1/2013,"2,585",10/1/2013,"2,397","6,054",9/28/2013,"3,471",5/20/2014,"1,512","4,987",6/7/2014,"2,657",9/11/2014,"1,636","5,081",9/20/2014,"2,890",6/3/2015,"1,653","4,708",5/9/2015,"2,592",9/10/2015,1417,4755,9/26/2015,2543,05/19/16,"1,718","4,984",05/21/16,"2,680",09/15/16,"1,707","4,512",09/17/16,"2,387",05/09/17,"1,908","5,716",05/06/17,"2,655",09/06/17,"1,903","5,017",09/16/17,"2,548"
POINT (-73.99336426671383 40.694534861508494),28,28,Brooklyn,Montague Street,Henry Street,Clinton Street,Y,5/8/2007,1476,4567,5/5/2007,2914,9/25/2007,1438,4231,9/29/2007,2842,5/8/2008,1363,4318,5/17/2008,2863,9/17/2008,1547,3762,9/13/2008,3672,5/21/2009,1202,4089,5/16/2009,3078,9/10/2009,1249,3849,10/3/2009,2520,5/4/2010,1393,3896,5/1/2010,3660,9/15/2010,1365,5372,9/18/2010,2802,5/11/2011,1374,5441,5/7/2011,3659,9/15/2011,1595,4564,9/17/2011,3754,5/30/2012,1496,2920,6/2/2012,3453,9/12/2012,"1,482","4,532",9/15/2012,"4,419",5/16/2013,"1,251","4,861",5/18/2013,"3,189",9/25/2013,"1,247","3,998",9/21/2013,"2,795",5/20/2014,"1,389","4,766",5/31/2014,"2,946",9/11/2014,"1,235","3,737",9/6/2014,"2,920",6/2/2015,"1,404","4,932",5/9/2015,"3,042",9/24/2015,1501,4284,9/12/2015,2182,05/11/16,"1,283","4,017",05/14/16,"3,510",09/14/16,"1,577","3,695",09/17/16,"2,156",05/02/17,"1,541","3,588",05/06/17,"3,232",09/06/17,"1,519","4,121",09/16/17,"3,219"
POINT (-73.96931991427776 40.693114646759845),29,29,Brooklyn,Myrtle Avenue,Vanderbilt Avenue,Clinton Avenue,N,-,-,-,-,-,9/25/2007,1129,1818,9/29/2007,1182,4/30/2008,735,1131,5/3/2008,856,-,-,-,-,-,5/21/2009,622,1689,5/16/2009,1135,9/10/2009,609,1272,10/10/2009,1122,5/13/2010,660,1565,5/8/2010,1237,9/14/2010,955,1315,9/25/2010,1366,5/5/2011,1055,2432,5/7/2011,1329,9/20/2011,1073,2129,9/24/2011,1228,6/6/2012,601,1363,6/9/2012,1764,9/13/2012,"1,040","2,223",9/22/2012,"1,705",5/1/2013,"1,182","2,214",5/4/2013,"1,843",11/6/2013,"1,380","2,585",10/5/2013,"1,717",5/13/2014,"1,090","3,713",5/3/2014,"1,457",9/17/2014,812,"1,561",9/20/2014,"2,025",5/12/2015,"1,271","2,267",5/9/2015,"1,456",9/16/2015,1453,2657,9/12/2015,1568,05/10/16,"1,099","2,481",05/07/16,"1,694",09/14/16,"1,419","2,089",09/17/16,"1,621",05/09/17,"1,034","1,719",05/06/17,"2,095",09/06/17,"1,495","2,636",09/23/17,"1,860"
POINT (-73.9939968076081 40.702746482787674),30,30,Brooklyn,Old Fulton Street,Elizabeth Place,Everit Place,N,5/15/2007,141,600,5/12/2007,875,9/26/2007,397,783,9/29/2007,658,5/8/2008,98,758,5/17/2008,807,9/17/2008,133,923,9/13/2008,1128,5/21/2009,103,248,5/16/2009,1178,9/10/2009,67,332,10/3/2009,1349,5/13/2010,116,996,5/1/2010,1644,9/15/2010,157,1382,9/18/2010,1846,5/11/2011,143,1185,5/7/2011,1588,9/15/2011,178,984,9/17/2011,1604,5/31/2012,222,990,6/2/2012,1773,9/12/2012,173,"1,260",9/22/2012,"2,572",5/16/2013,210,"3,134",5/4/2013,"2,325",9/25/2013,253,"1,620",10/5/2013,"2,438",5/20/2014,208,"1,835",5/31/2014,"2,578",9/11/2014,183,"2,174",9/6/2014,"2,185",5/27/2015,326,"2,888",5/9/2015,"4,052",9/24/2015,269,3126,9/12/2015,3388,05/11/16,285,"3,323",05/14/16,"3,518",09/14/16,201,"1,481",09/17/16,"3,179",05/02/17,244,"2,523",05/06/17,"2,985",09/07/17,309,"2,665",09/16/17,"2,932"
POINT (-73.91307856842978 40.66933456193007),31,31,Brooklyn,Pitkin Avenue,Bristol Street,Hopkinson Avenue,Y,5/15/2007,572,3355,5/12/2007,2720,9/26/2007,686,3312,9/29/2007,3131,5/7/2008,546,3372,5/17/2008,3254,9/24/2008,658,2555,9/20/2008,2584,5/21/2009,601,3753,5/16/2009,1628,9/10/2009,664,3174,10/3/2009,2270,5/4/2010,669,4368,5/1/2010,3276,9/14/2010,980,2255,9/25/2010,2530,5/5/2011,666,3112,5/21/2011,2657,9/8/2011,518,1647,9/24/2011,1230,5/16/2012,627,2010,6/9/2012,2518,9/13/2012,840,"3,388",9/22/2012,"2,534",5/2/2013,744,"3,365",5/4/2013,"2,631",10/1/2013,"1,791","3,873",9/21/2013,"2,863",5/13/2014,672,"2,262",5/3/2014,"1,622",9/9/2014,757,"2,441",9/6/2014,"1,922",5/21/2015,938,"2,343",5/30/2015,"2,222",9/9/2015,701,2147,9/19/2015,2251,05/05/16,636,"2,763",05/21/16,"2,358",09/14/16,844,"2,852",09/17/16,"3,258",05/09/17,562,"2,708",05/20/17,"2,244",09/13/17,807,"2,445",09/16/17,"2,582"
POINT (-73.95475091689498 40.58754340485188),32,32,Brooklyn,Sheepshead Bay Road,East 14th Street,East 15th Street,Y,5/16/2007,1580,2215,5/19/2007,1785,9/25/2007,1205,2953,9/29/2007,1848,5/7/2008,1579,3289,5/10/2008,1781,9/24/2008,1546,3624,9/20/2008,2003,5/21/2009,1582,3094,5/23/2009,1967,9/10/2009,1676,3513,10/3/2009,1448,5/26/2010,1614,3663,5/15/2010,1784,9/23/2010,1654,2423,9/25/2010,1327,5/10/2011,1554,3453,5/14/2011,1893,9/8/2011,1932,3776,9/24/2011,1395,5/2/2012,1881,2229,6/9/2012,1706,9/11/2012,"1,729","3,396",9/15/2012,"1,825",5/21/2013,"1,541","2,855",6/1/2013,"1,271",10/1/2013,"1,618","3,041",9/21/2013,"1,557",5/8/2014,"1,418","2,627",5/10/2014,"1,366",9/17/2014,"1,543","2,706",9/20/2014,"1,381",5/6/2015,"1,576","3,211",5/30/2015,"1,220",9/17/2015,1625,2555,9/19/2015,1497,05/19/16,"1,845","2,841",05/07/16,"1,365",09/13/16,"1,927","2,664",09/17/16,"1,240",05/03/17,"1,849","2,820",05/20/17,"1,374",09/07/17,"1,758","2,840",09/09/17,"1,248"
POINT (-74.01511472616954 40.675465596883384),33,33,Brooklyn,VanBrunt Street,Beard Street,VanDike Street,N,5/15/2007,90,232,5/19/2007,170,9/25/2007,112,317,9/29/2007,235,5/8/2008,138,380,5/17/2008,220,9/23/2008,138,490,9/20/2008,269,5/21/2009,112,186,5/23/2009,105,9/10/2009,100,204,10/3/2009,251,5/13/2010,92,91,5/8/2010,264,9/15/2010,151,304,9/25/2010,267,5/10/2011,90,251,5/7/2011,380,9/8/2011,123,246,9/24/2011,425,6/6/2012,110,516,5/12/2012,183,9/11/2012,112,303,9/15/2012,493,5/14/2013,101,290,5/18/2013,300,10/2/2013,123,309,9/21/2013,469,5/14/2014,68,260,5/10/2014,350,9/11/2014,85,336,9/6/2014,351,5/12/2015,111,295,5/30/2015,468,9/10/2015,83,324,10/3/2015,348,05/25/16,110,244,05/21/16,401,09/14/16,130,257,09/17/16,401,05/11/17,117,262,05/20/17,606,09/06/17,98,295,09/16/17,394
POINT (-73.98960330219742 40.70286152714998),34,34,Brooklyn,Washington Street,Front Street,Water Street,N,5/10/2007,546,1387,5/5/2007,851,9/26/2007,556,1550,9/29/2007,826,5/8/2008,544,1476,5/17/2008,1390,9/17/2008,549,1976,9/13/2008,833,5/21/2009,1181,995,5/23/2009,1264,9/10/2009,977,1188,10/3/2009,1170,5/4/2010,525,1892,5/1/2010,1576,9/15/2010,466,2048,9/18/2010,809,5/12/2011,558,2508,5/7/2011,1232,9/15/2011,732,1972,9/17/2011,1469,6/5/2012,604,1557,6/9/2012,1002,9/12/2012,257,"1,371",9/22/2012,"1,406",5/1/2013,742,"3,009",6/1/2013,"1,408",9/25/2013,849,"2,156",9/21/2013,"1,547",5/20/2014,737,"3,362",5/31/2014,"1,691",9/11/2014,780,"3,184",9/6/2014,"1,349",5/28/2015,487,"1,799",5/9/2015,"1,588",9/24/2015,750,3243,9/19/2015,1877,05/25/16,930,"3,784",05/14/16,"2,763",09/14/16,838,"2,929",09/17/16,"2,517",05/02/17,874,"3,978",05/06/17,"2,340",09/06/17,986,"3,996",09/16/17,"2,905"
POINT (-74.01155687409947 40.70463665187373),35,35,Manhattan,Broad Street,Beaver Street,South William Street,Y,5/9/2007,3469,3992,5/19/2007,599,9/26/2007,4214,12879,9/29/2007,8077,5/8/2008,4231,7042,5/17/2008,1157,9/25/2008,3906,7307,9/6/2008,1171,5/21/2009,4745,5954,5/23/2009,1112,9/22/2009,2421,6724,9/12/2009,1030,5/4/2010,3696,5944,5/8/2010,737,9/23/2010,4013,6014,9/25/2010,922,5/18/2011,3879,6839,5/7/2011,853,9/8/2011,4254,5989,9/24/2011,1681,5/23/2012,4495,4437,6/9/2012,1175,9/12/2012,"4,302","6,257",9/15/2012,"1,341",5/1/2013,"2,865","4,874",5/18/2013,"1,273",10/3/2013,"3,758","5,843",9/28/2013,"1,466",5/6/2014,"3,666","5,845",5/3/2014,"1,149",9/16/2014,"3,383","5,154",9/6/2014,954,5/12/2015,"4,177","6,445",5/9/2015,993,9/9/2015,4622,7161,9/12/2015,1411,05/25/16,"4,632","7,093",05/21/16,"1,580",09/15/16,"4,041","5,893",09/17/16,"1,880",05/02/17,"3,522","6,747",05/20/17,"1,715",09/06/17,"4,924","8,303",09/23/17,"2,036"
POINT (-74.01286204592034 40.70634164448267),36,36,Manhattan,Broadway,Morris Street,Exchange Place,Y,5/16/2007,3660,8390,5/19/2007,2361,9/26/2007,4507,15554,9/29/2007,12748,4/30/2008,3110,7880,5/17/2008,4098,9/25/2008,4483,11912,9/6/2008,3528,5/21/2009,3085,7169,5/23/2009,5281,9/22/2009,5206,12034,9/12/2009,6513,5/13/2010,4896,11032,5/8/2010,3907,9/8/2010,4644,10890,9/18/2010,6569,5/12/2011,4357,9628,5/14/2011,4097,9/8/2011,3838,10699,9/17/2011,6962,5/31/2012,5462,9308,6/9/2012,5350,10/17/2012,"5,021","12,183",9/15/2012,"6,297",5/2/2013,"4,964","12,371",5/18/2013,"6,990",10/3/2013,"5,121","11,809",9/21/2013,"7,564",5/20/2014,"5,744","12,666",5/3/2014,"7,947",9/17/2014,"5,732","16,251",9/6/2014,"4,691",5/13/2015,"5,416","14,507",5/30/2015,"8,321",9/17/2015,3935,13111,9/12/2015,7254,05/25/16,"5,079","11,126",05/07/16,"7,116",09/14/16,"3,791","10,156",09/17/16,"7,720",05/02/17,"6,274","14,040",05/20/17,"9,265",09/13/17,"7,798","12,650",09/23/17,"8,126"
POINT (-73.98219706247882 40.77181340301186),37,37,Manhattan,Broadway,West 63rd Street,West 64th Street,Y,5/17/2007,1611,6764,5/12/2007,4592,9/26/2007,1805,5674,9/29/2007,4111,4/29/2008,1293,6024,5/10/2008,5804,9/24/2008,2616,8454,9/20/2008,5178,5/21/2009,1620,2654,5/23/2009,5207,9/22/2009,2718,6600,9/12/2009,4236,5/4/2010,1988,8750,5/15/2010,5390,9/8/2010,2447,9057,9/11/2010,6147,5/10/2011,1999,8878,4/30/2011,5799,9/7/2011,1687,7388,9/10/2011,4793,5/2/2012,2086,4690,6/9/2012,8376,10/18/2012,"1,881","8,696",9/22/2012,"6,809",5/1/2013,"1,986","9,375",5/4/2013,"6,034",10/2/2013,"2,577","9,566",10/5/2013,"7,064",5/13/2014,"1,775","7,707",5/3/2014,"5,919",9/4/2014,"2,686","7,916",9/20/2014,"4,462",5/21/2015,"1,870","8,996",5/16/2015,"7,676",9/16/2015,3950,11244,9/19/2015,7146,05/26/16,"2,789","8,673",05/21/16,"5,003",09/13/16,"2,338","8,574",09/24/16,"5,944",05/11/17,"1,962","6,832",06/03/17,"5,446",09/06/17,"2,091","9,305",09/23/17,"4,663"
POINT (-74.01009312926121 40.715904559004215),38,38,Manhattan,Chambers Street,West Broadway,Greenwich Street,Y,5/16/2007,7081,8512,5/19/2007,2061,9/26/2007,7192,8513,9/29/2007,5204,4/30/2008,6556,10440,5/17/2008,2145,9/25/2008,5333,5097,9/6/2008,2675,5/27/2009,7466,10866,5/23/2009,1696,9/22/2009,8091,8273,9/12/2009,1612,5/4/2010,6318,9575,5/1/2010,6305,9/23/2010,8909,11065,9/25/2010,2983,5/5/2011,6905,11192,5/14/2011,2677,9/8/2011,14456,11407,9/24/2011,4674,5/30/2012,5765,4266,6/9/2012,2939,9/12/2012,"8,185","10,981",9/15/2012,"4,144",5/2/2013,"7,735","9,680",5/18/2013,"4,100",10/2/2013,"8,232","9,661",9/21/2013,"3,627",5/13/2014,"8,140","10,248",5/10/2014,"1,580",9/4/2014,"8,806","10,478",9/13/2014,"1,538",5/13/2015,"8,324","9,689",5/9/2015,"2,422",9/17/2015,8183,9256,9/19/2015,1696,05/12/16,"6,923","9,546",05/21/16,"2,994",09/20/16,"7,639","8,514",09/17/16,"5,458",05/09/17,"6,923","9,546",05/06/17,"2,994",09/06/17,"8,401","9,937",09/23/17,"3,302"
POINT (-73.97713579908014 40.779680827631324),39,39,Manhattan,Columbus Avenue,West 75th Street,West 76th Street,N,5/17/2007,1071,3037,5/12/2007,3500,9/26/2007,1189,2748,9/29/2007,2523,4/29/2008,895,2385,5/10/2008,3910,9/24/2008,1172,3306,9/20/2008,3171,5/27/2009,1041,1761,5/23/2009,3084,9/22/2009,2248,4408,9/12/2009,2629,5/4/2010,1507,3464,5/15/2010,3633,9/15/2010,1632,3907,9/11/2010,3407,5/10/2011,1520,4024,4/30/2011,4157,9/8/2011,1497,3598,9/10/2011,2442,5/2/2012,1603,2283,5/5/2012,3703,9/12/2012,"1,601","3,898",9/22/2012,"4,216",5/1/2013,"1,676","4,358",5/4/2013,"4,968",10/2/2013,"1,646","3,998",10/5/2013,"4,070",5/13/2014,"1,451","4,420",5/3/2014,"4,246",9/4/2014,"1,633","3,272",9/13/2014,"3,271",5/6/2015,"1,218","4,604",5/9/2015,"6,597",9/16/2015,2387,8626,9/19/2015,3766,05/19/16,"1,892","4,594",05/21/16,"4,162",09/14/16,"1,852","3,277",09/24/16,"4,522",05/11/17,"1,558","3,627",06/03/17,"2,690",09/06/17,"1,592","3,626",09/23/17,"2,977"
POINT (-73.98936305063111 40.71898935935356),40,40,Manhattan,Delancey Street,Orchard Street,Ludlow Street,Y,5/10/2007,1085,2733,5/19/2007,2529,9/26/2007,1433,4104,9/29/2007,2701,5/8/2008,1015,2947,5/17/2008,2718,9/11/2008,958,2218,9/13/2008,1635,5/27/2009,869,1680,5/23/2009,1378,9/22/2009,1664,4708,9/12/2009,2233,5/4/2010,940,2702,5/1/2010,2093,9/14/2010,1396,2912,9/18/2010,1861,5/4/2011,1036,2741,4/30/2011,2119,9/13/2011,969,2606,9/10/2011,1592,5/31/2012,1451,2495,6/9/2012,2514,9/12/2012,"1,616","4,262",9/15/2012,"3,385",5/2/2013,"1,472","4,415",5/4/2013,"3,776",10/2/2013,"1,594","4,278",10/5/2013,"2,951",5/7/2014,"1,558","4,792",5/10/2014,"2,809",9/18/2014,"1,636","4,480",9/13/2014,"2,626",5/6/2015,"1,357","4,543",5/16/2015,"3,367",9/9/2015,1557,4809,9/19/2015,1973,05/25/16,"1,746","5,086",05/07/16,"3,197",09/20/16,"1,847","4,847",09/10/16,"3,032",05/10/17,"1,647","4,534",05/20/17,"3,295",09/13/17,"1,634","3,238",09/23/17,"2,420"
POINT (-73.99265748471083 40.73559926423825),41,41,Manhattan,East 14th Street,Fifth Avenue,University Place,Y,5/17/2007,2265,13723,5/12/2007,4761,9/26/2007,2084,13965,9/29/2007,5004,5/6/2008,3000,11119,5/3/2008,10041,9/16/2008,2682,14451,9/13/2008,7391,5/27/2009,2946,17128,5/23/2009,7151,9/23/2009,3135,15654,9/12/2009,7300,5/5/2010,2480,13830,5/8/2010,6559,9/14/2010,2952,14895,9/11/2010,6008,5/12/2011,2726,18830,5/7/2011,9130,9/8/2011,2803,16102,9/10/2011,7005,5/31/2012,2607,8641,6/9/2012,8997,9/12/2012,"2,730","13,560",9/22/2012,"8,102",5/1/2013,"3,034","17,519",5/4/2013,"8,918",10/3/2013,"2,930","14,597",10/5/2013,"7,377",5/20/2014,"3,029","12,888",5/10/2014,"8,876",9/18/2014,"3,248","14,486",9/6/2014,"6,765",5/21/2015,"3,462","13,830",5/16/2015,"9,616",9/10/2015,3868,15862,9/19/2015,6103,05/05/16,"3,017","14,947",05/07/16,"7,465",09/21/16,"3,979","16,487",09/10/16,"6,253",05/09/17,"3,303","18,021",05/06/17,"10,204",09/06/17,"4,251","19,584",09/23/17,"5,078"
POINT (-73.97665547944715 40.75169473512385),42,42,Manhattan,East 42nd Street,Park Avenue,Lexington Avenue,Y,5/15/2007,7485,15513,5/12/2007,6239,9/26/2007,6664,16133,9/29/2007,4885,4/30/2008,6149,15315,5/3/2008,4689,9/25/2008,5437,13819,9/20/2008,6455,5/27/2009,8306,21051,5/23/2009,6303,9/23/2009,7433,20672,9/12/2009,5006,5/13/2010,7210,17256,5/8/2010,5715,9/23/2010,9320,16289,9/11/2010,5193,5/10/2011,7149,16756,4/30/2011,6308,9/13/2011,8729,16342,9/17/2011,5287,5/30/2012,8083,12937,6/9/2012,6480,9/11/2012,"7,362","16,933",9/15/2012,"6,857",5/1/2013,"7,478","18,085",5/4/2013,"6,703",10/2/2013,"7,700","17,327",9/28/2013,"7,617",5/7/2014,"8,461","17,127",5/31/2014,"5,692",9/23/2014,"7,278","18,044",9/27/2014,"4,682",5/12/2015,"8,428","16,039",5/9/2015,"6,560",9/9/2015,8690,17425,9/19/2015,5608,05/10/16,"13,311","28,056",05/14/16,"9,351",09/21/16,"8,253","16,376",09/17/16,"6,400",05/04/17,"9,241","20,258",05/06/17,"6,428",09/06/17,"8,551","16,529",09/16/17,"6,279"
POINT (-73.99441204702927 40.731436017707026),43,43,Manhattan,East 8th Street,University Place,Greene Street,N,5/17/2007,944,5422,5/12/2007,2254,9/26/2007,952,5782,9/29/2007,2736,5/6/2008,1052,6359,5/3/2008,3097,9/16/2008,975,5623,9/13/2008,2947,5/27/2009,884,4929,5/9/2009,2506,9/23/2009,1064,5810,9/12/2009,2736,5/5/2010,1035,5137,5/8/2010,2588,9/14/2010,1291,5350,9/11/2010,2367,5/12/2011,926,5171,5/7/2011,2968,9/8/2011,980,5290,9/10/2011,2417,5/31/2012,1134,2830,6/9/2012,2846,9/13/2012,"1,084","6,025",9/22/2012,"2,600",5/1/2013,"1,111","5,771",5/4/2013,"2,830",10/3/2013,"1,087","5,550",10/5/2013,"3,066",5/22/2014,824,"3,902",5/10/2014,"2,237",9/16/2014,"1,200","5,118",9/6/2014,"2,335",5/21/2015,"1,113","3,873",5/16/2015,"2,756",9/10/2015,1183,5024,9/12/2015,2220,05/05/16,"1,267","5,138",05/07/16,"2,661",09/20/16,"1,457","6,299",10/01/16,"2,276",05/09/17,"1,352","4,866",05/06/17,"2,682",09/06/17,"1,212","5,016",09/23/17,"1,690"
POINT (-73.98861503057542 40.75884828352128),44,44,Manhattan,Eighth Avenue,West 44th Street,West 45th Street,N,5/15/2007,2735,8412,5/12/2007,12143,9/26/2007,8533,23290,9/29/2007,16629,4/30/2008,10246,33290,5/3/2008,13498,9/25/2008,5753,13671,9/20/2008,9753,5/27/2009,8366,16730,5/23/2009,5749,9/22/2009,7495,14628,9/12/2009,4423,5/6/2010,5196,16136,5/15/2010,8685,9/22/2010,3841,10130,9/11/2010,7476,5/18/2011,6058,20010,5/7/2011,7261,9/13/2011,5684,13805,9/17/2011,8406,5/30/2012,5608,13250,6/2/2012,9213,9/11/2012,"6,265","18,303",9/22/2012,"9,065",5/1/2013,"6,561","19,195",5/4/2013,"9,577",10/2/2013,"6,729","18,822",9/28/2013,"9,879",5/13/2014,"7,027","17,164",5/10/2014,"7,998",9/9/2014,"7,906","21,946",9/6/2014,"10,243",5/13/2015,"8,133","22,625",5/9/2015,"8,990",9/10/2015,7222,19064,9/19/2015,6468,05/11/16,"7,800","28,019",05/21/16,"10,030",09/08/16,"7,160","21,141",09/17/16,"8,346",05/03/17,"8,389","25,824",05/06/17,"9,745",09/06/17,"7,802","23,979",09/23/17,"12,536"
